FirstOccurrence,LastOccurrence,Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,PCAPName,MAC,IP,Function,Count,RiskScore
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,WhJYCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCAYqBgj42wIQZhHHUNo6Gy4GAA.pcap,,172.16.106.14,DOWNLOAD REQUEST,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,WhJYCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCAYqBgj42wIQZhHHUNo6Gy4GAA.pcap,,172.16.106.14,DOWNLOAD END,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,WhJYCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCAYqBgj62wIQZhEjUdo6Gy4GAA.pcap,,172.16.106.14,PLC STOP,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgARI1HaOhsuBgAYAQ.pcap,01:0e:cf:00:00:00,,PN DCP IDENTIFY REQUEST,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,SRJHCjoKFgoHCNXnhduAEhIBABoICLOh6rSzjAoSFgoHCNXnhduAEhIBABoICOa9p7WzjAoaBAiSkQIiACoAEdXvWTQbLgYAGAE.pcap,28:63:36:9a:90:b3,,ACYCLIC IO ALARM HIGH,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,SRJHCjoKFgoHCNXnhduAEhIBABoICLOh6rSzjAoSFgoHCNXnhduAEhIBABoICOa9p7WzjAoaBAiSkQIiACoAEdXvWTQbLgYAGAE.pcap,28:63:36:a9:de:e6,,ACYCLIC IO ALARM HIGH,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgARI1HaOhsuBgAYAQ.pcap,ac:64:17:03:4f:c5,,PN DCP IDENTIFY REQUEST,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,WhJYCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCAYqBgj42wIQZhHHUNo6Gy4GAA.pcap,,,PLC CONTROL,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,WhJYCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCAYqBgj42wIQZhHHUNo6Gy4GAA.pcap,,,OPEN CONNECTION,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,WhJYCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCAYqBgj42wIQZhHHUNo6Gy4GAA.pcap,,,DOWNLOAD REQUEST,1,6.7
